,State,County,GroceryStores,SupercentersClubStores,ConvenienceStores,SpecializedFoodStores,FastFoodRestaurants,FullServiceRestaurants
2292,PA,Northumberland,17,1,37,6,41,71
2293,PA,Perry,10,0,17,1,17,25
2294,PA,Philadelphia,501,3,336,192,1223,992
2295,PA,Pike,11,1,20,5,18,38
2296,PA,Potter,8,0,10,0,5,14
2297,PA,Schuylkill,34,2,59,15,71,120
2298,PA,Snyder,14,0,10,7,21,35
2299,PA,Somerset,18,1,28,5,34,47
2300,PA,Sullivan,4,0,5,1,3,8
2301,PA,Susquehanna,12,0,17,4,17,28
2302,PA,Tioga,8,1,18,3,14,44
2303,PA,Union,5,1,16,4,25,31
2304,PA,Venango,15,1,23,5,24,37
2305,PA,Warren,8,1,20,1,15,34
2306,PA,Washington,37,2,68,16,125,125
2307,PA,Wayne,15,1,21,5,21,55
2308,PA,Westmoreland,50,6,116,28,229,250
2309,PA,Wyoming,10,0,19,2,8,28
2310,PA,York,66,7,131,38,272,227
2311,RI,Bristol,7,0,11,4,32,56
2312,RI,Kent,23,3,68,17,125,179
2313,RI,Newport,8,1,35,8,68,133
2314,RI,Providence,125,1,219,58,460,528
2315,RI,Washington,33,1,47,10,109,164
2316,SC,Abbeville,4,0,13,1,10,10
2317,SC,Aiken,30,3,90,6,90,86
2318,SC,Allendale,4,0,9,0,6,0
2319,SC,Anderson,26,3,120,5,149,124
2320,SC,Bamberg,3,0,11,0,10,4
2321,SC,Barnwell,4,1,17,1,14,11
2322,SC,Beaufort,36,2,64,12,100,246
2323,SC,Berkeley,19,3,60,9,96,79
2324,SC,Calhoun,1,0,10,0,3,4
2325,SC,Charleston,87,7,155,39,327,408
2326,SC,Cherokee,9,1,43,3,40,36
2327,SC,Chester,12,0,29,1,14,17
2328,SC,Chesterfield,11,1,27,1,25,31
2329,SC,Clarendon,6,1,35,0,22,18
2330,SC,Colleton,13,1,40,1,23,21
2331,SC,Darlington,14,1,51,3,33,31
2332,SC,Dillon,9,0,28,3,21,16
2333,SC,Dorchester,18,1,47,5,74,55
2334,SC,Edgefield,3,0,11,0,8,12
2335,SC,Fairfield,2,1,16,0,5,7
2336,SC,Florence,42,2,106,13,119,83
2337,SC,Georgetown,16,1,40,8,49,80
2338,SC,Greenville,84,8,208,23,403,395
2339,SC,Greenwood,15,1,48,1,43,54
2340,SC,Hampton,8,0,22,1,15,12
2341,SC,Horry,51,8,173,20,303,471
2342,SC,Jasper,4,1,25,3,14,14
2343,SC,Kershaw,9,1,39,0,33,30
2344,SC,Lancaster,18,1,45,3,33,31
2345,SC,Laurens,10,0,52,2,31,24
2346,SC,Lee,4,0,10,1,8,6
2347,SC,Lexington,43,7,134,16,188,194
2348,SC,McCormick,2,0,8,0,4,3
2349,SC,Marion,9,1,27,3,17,16
2350,SC,Marlboro,8,0,28,3,12,8
2351,SC,Newberry,6,1,34,1,22,31
2352,SC,Oconee,14,1,39,0,49,42
2353,SC,Orangeburg,24,1,75,3,65,53
2354,SC,Pickens,13,1,58,6,81,80
